java.net.URLConnection,SINK_NETWORK
java.net.URLConnection,SINK_NETWORK
java.net.URLConnection,SOURCE_NETWORK
java.net.URLConnection,SOURCE_NETWORK
java.net.URLConnection,SINK_NETWORK
java.net.URLStreamHandler,SINK_NETWORK
java.net.URLStreamHandler,SINK_NETWORK
java.nio.channels.AsynchronousChannelGroup,SINK_PROCESS_OPERATION
java.nio.channels.AsynchronousChannelGroup,SINK_PROCESS_OPERATION
java.nio.channels.AsynchronousChannelGroup,SINK_PROCESS_OPERATION
java.nio.channels.AsynchronousFileChannel,SOURCE_FILE
java.nio.channels.AsynchronousFileChannel,SOURCE_FILE
java.nio.channels.AsynchronousFileChannel,SINK_FILE
java.nio.channels.AsynchronousServerSocketChannel,SINK_NETWORK
java.nio.channels.AsynchronousServerSocketChannel,SINK_NETWORK
java.nio.channels.AsynchronousSocketChannel,SOURCE_NETWORK
java.nio.channels.AsynchronousSocketChannel,SINK_NETWORK
java.nio.channels.AsynchronousSocketChannel,SINK_NETWORK
java.nio.channels.DatagramChannel,SINK_NETWORK
java.nio.channels.DatagramChannel,SOURCE_NETWORK
java.nio.channels.DatagramChannel,SOURCE_NETWORK
java.nio.channels.DatagramChannel,SINK_NETWORK
java.nio.channels.FileChannel,SOURCE_FILE
java.nio.channels.FileChannel,SOURCE_FILE
java.nio.channels.FileChannel,SINK_FILE
java.nio.channels.FileChannel,SINK_FILE
java.nio.channels.FileChannel,SOURCE_FILE
java.nio.channels.Pipe,SINK_FILE
java.nio.channels.Pipe,SOURCE_FILE
java.nio.channels.ServerSocketChanel,SINK_NETWORK
java.nio.channels.ServerSocketChanel,SINK_NETWORK
java.nio.channels.SocketChanel,SOURCE_NETWORK
java.nio.channels.SocketChanel,SINK_NETWORK
java.nio.file.Files,SINK_FILE
java.nio.file.Files,SINK_FILE
java.nio.file.Files,SOURCE_FILE
java.nio.file.Files,SOURCE_FILE
java.nio.file.Files,SOURCE_FILE
java.nio.file.Files,SOURCE_FILE
java.nio.file.Files,SINK_FILE
java.nio.file.Files,SINK_FILE
java.nio.file.Files,SINK_FILE
java.security.AccessController,SINK_SYSTEM
java.security.AccessController,SINK_SYSTEM
java.security.DigestInputStream,SOURCE_FILE
java.security.DigestOutputStream,SINK_FILE
java.security.KeyPair,SOURCE_ACCOUNT
java.security.KeyStore,SINK_ACCOUNT
java.security.KeyStore,SINK_ACCOUNT
java.security.KeyStore,SINK_ACCOUNT
java.security.KeyStore,SINK_ACCOUNT
java.security.KeyStore,SINK_ACCOUNT
java.security.KeyStore,SOURCE_ACCOUNT
java.security.KeyStore,SOURCE_ACCOUNT
java.security.KeyStore,SOURCE_ACCOUNT
java.security.KeyStore,SOURCE_ACCOUNT
java.security.KeyStore,SOURCE_ACCOUNT
java.security.Signer,SOURCE_ACCOUNT
java.security.Signer,SINK_ACCOUNT
java.sql.PreparedStatement,SINK_DATABASE
java.sql.PreparedStatement,SINK_DATABASE
java.sql.PreparedStatement,SINK_DATABASE
java.sql.PreparedStatement,SINK_DATABASE
java.sql.PreparedStatement,SINK_DATABASE
java.sql.Connection,SINK_DATABASE
java.sql.Connection,SINK_DATABASE
javax.crypto.CipherInputStream,SOURCE_FILE
javax.crypto.CipherOutputStream,SINK_FILE
javax.crypto.CipherOutputStream,SINK_FILE
javax.script.ScriptEngine,SINK_CODE_GENERATION
javax.xml.xpath.XPath,SINK_DATABASE
javax.xml.xpath.XPathExpression,SINK_DATABASE
javax.xml.xpath.XPath,SINK_DATABASE
