FileUtils.rm_f,SINK_FILE
FileUtils.rm_rf,SINK_FILE
FileUtils.rmdir,SINK_FILE
FileUtils.rmtree,SINK_FILE
FileUtils.mv,SINK_FILE
FileUtils.install,SINK_SYSTEM
Dir.rmdir,SINK_FILE
Dir.unlink,SINK_FILE
Dir.delete,SINK_FILE
Env.clear,SINK_SYSTEM
Env.delete,SINK_SYSTEM
Env.delete_if,SINK_SYSTEM
File.delete,SINK_FILE
File.unlink,SINK_FILE
File.truncate,SINK_FILE
exec,SINK_CODE_GENERATION
spawn,SINK_PROCESS_OPERATION
system,SINK_CODE_GENERATION
trap,SINK_PROCESS_OPERATION
eval,SINK_CODE_GENERATION
fork,SINK_PROCESS_OPERATION
lambda,SINK_CODE_GENERATION
load,SINK_CODE_GENERATION
syscall,SINK_CODE_GENERATION
Process.new,SINK_PROCESS_OPERATION
Net::HTTP.new,SINK_NETWORK
Open3.capture2,SINK_CODE_GENERATION
Open3.capture2e,SINK_CODE_GENERATION
Open3.capture3,SINK_CODE_GENERATION
Open3.pipeline,SINK_CODE_GENERATION
Open3.pipeline_r,SINK_CODE_GENERATION
Open3.pipeline_rw,SINK_CODE_GENERATION
Open3.pipeline_start,SINK_CODE_GENERATION
Open3.pipeline_w,SINK_CODE_GENERATION
Open3.popen2,SINK_CODE_GENERATION
Open3.popen2e,SINK_CODE_GENERATION
Open3.popen3,SINK_CODE_GENERATION
builtin_xstring,SINK_PROCESS_OPERATION
Base64.urlsafe_decode64,SOURCE_OBFUSCATION
Base64.decode64,SOURCE_OBFUSCATION
Base64.strict_decode64,SOURCE_OBFUSCATION
